Account Address,Spent(ATOM),Purchased(ssDRAGON)
osmo17qf82c3xhuf2gxwam7fp48x657fcyt9al9gf5e,2,16892.957717
osmo1kectm60a0cmrh3cl5ld33vt59pu37nkjgkycn0,2,16892.957717
osmo1zxg7695uplngjylndt46xms77v9lyxx80nkl6d,2,16892.957717
osmo1g0g695dumsga8d2puuwjq7vu734gqlunrnzhcm,2,16892.957717
osmo19umgavrn0fj2e4yts3t6s9rp3jzlsptlpwmyqz,2,16892.957717
osmo16qh8dsxmrksycfnx9e987akjzkz2ql0wj2s9fn,1.979195,16717.228725
osmo1drqgprr4r3mtcncpxjn6a0kr84ag8c3k7rg4js,1.950449,16474.426243
osmo1lfp7rzgq0cc27v5f9d8wsxz6658vefqqged3qj,1.85,15625.985889
osmo1e5jmcepmgr6wsmp4n3tlhmdcny2pw49cvvqydf,1.799031,15195.477308
osmo1hysm2qek2l3s6usngrs7vzzcwfe4z6ydy6tmrq,1.587058,13405.051845
osmo1gu6dyquykt6hwx90hxctnq7v28vf3eap2l6su2,1.57,13260.971808
osmo17593qqceld6d9c9tdvfvdawkvkdpv2jqzmwqe7,1.540261,13009.781973
osmo1k5g4gt2n5vqx9a3u328dxq7ermmdkqgrx0amfe,1.46,12331.859134
osmo1a0unrcj9cw4893z66j22rkx9zltxvjs3s5evax,1.447418,12225.585537
osmo1q50zgnxkzl94txqj0fygdtqgmmr5fdtnh6ept9,1.433381,12107.022313
osmo12leszyaherxx9ayyf0xucl86jtkwd9pq6mfe4q,1.406615,11880.943860
osmo15jj749mfq0kk4mdkyufcgyd05p6wk8f78nvpyq,1.2,10135.774630
osmo102439ncpv4n9cd9nk0cfpvust4lrxfyzr2vz7t,1.123862,9492.676623
osmo18h8zhs00tlwm0v76qmutfxdxr4lcny4qezdnc3,1.100079,9291.794016
osmo123qws0a0kv5eh027udjjr54flk7q9vf6saqx9j,1.05,8868.802802
osmo1agv5xsuu73aj5k4ayz9mftnv3kdy07kfr52ve6,1.04952,8864.748492
osmo18uhgl3zrxw2zcwytajekn4nrvuncwls9k4amp0,1,8446.478859
osmo156rx7ufuq73dzqyp929gqlfsjzm4kpna8n045c,1,8446.478859
osmo1zl6avgsqrxdqctwzuq7vzhfwx8yguzdw562479,1,8446.478859
osmo1l5x5tzg9v723nurtvkppst9e0q3lmkncraskqq,1,8446.478859
osmo1r9umzg5v8nvczue3l3l65j333p64xkh00897q9,1,8446.478859
osmo1cml0ucekdswn20e8f04hxah7jyl66fdf3wwmh2,1,8446.478859
osmo1uvmfez9yx4r9gyy2200l0kpftf47m6x0vyft37,1,8446.478859
osmo175t785lnkxq59gsynkmgn9qn8t0d0mf4cx0gle,1,8446.478859
osmo1h4vhm47q8eald78yg58crjmx53exnzl34z58fg,1,8446.478859
osmo1zq75z3pv4msjdu0lqqgwmpk9wpyjml3y2mrz6t,1,8446.478859
